Sequence id	Molecular Weight(Da)	Residues
AT1G08520.1	83285	760
AT1G08530.1	27015	257
AT1G08540.1	64055	572
AT1G36060.1	34308	314
AT1G08550.1	52018	462
AT1G08550.2	52018	462
AT1G08510.1	45688	412
AT1G70120.1	21476	193
AT1G70100.2	51989	467
AT1G70100.1	51989	467
AT1G70100.3	55970	504
AT1G70100.4	53481	482
AT1G70110.1	74579	666
AT1G36050.1	43359	386
AT1G08560.1	35275	310
AT1G08580.1	14054	123
AT1G64840.1	43684	384
AT1G70150.1	43802	387
AT1G64850.1	18098	162
AT1G70140.1	83604	760
AT1G08570.1	30323	275
AT1G08570.2	26875	244
AT1G64830.1	46340	431
AT1G64820.1	55708	502
AT1G64790.1	265340	2440
AT1G64800.1	13592	115
AT1G64810.1	49627	436
AT1G64810.2	52359	460
AT1G70130.1	72456	656
AT1G70160.1	59136	523
AT1G70090.1	44259	390
AT1G64780.1	55014	514
AT1G14160.1	22403	209
AT1G64700.1	22684	203
AT1G64710.1	43258	396
AT1G64710.2	38974	357
AT1G14150.2	18743	162
AT1G14150.1	22158	190
AT1G64720.1	43758	385
AT1G14140.1	33441	305
AT1G14120.1	35120	312
AT1G08490.1	50486	463
AT1G08500.1	24904	228
AT1G14130.1	34635	308
AT1G36030.1	8657	80
AT1G70020.1	25753	225
AT1G70030.1	18724	160
AT1G64770.1	38006	348
AT1G64770.2	34286	313
AT1G36020.1	13040	116
AT1G70080.1	71112	611
AT1G70070.1	132438	1171
AT1G70060.1	155135	1362
AT1G64740.1	49801	450
AT1G70040.1	21597	193
AT1G64750.1	8859	74
AT1G64750.2	8859	74
AT1G64760.1	52282	481
AT1G64760.2	52282	481
AT1G64860.1	56400	502
AT1G70170.1	42006	378
AT1G64870.1	34548	304
AT1G30970.1	39802	367
AT1G30970.2	33793	315
AT1G64970.1	38076	348
AT1G64960.1	130309	1168
AT1G30960.1	49671	437
AT1G30950.1	49048	442
AT1G64930.1	59005	511
AT1G64940.1	59279	511
AT1G64950.1	59116	510
AT1G36150.1	25906	256
AT1G08700.1	49309	453
AT1G64980.1	30216	259
AT1G31010.1	40628	360
AT1G31000.1	42235	363
AT1G36160.1	251385	2254
