#name	name2
NR_046018.2	DDX11L1
NR_024540.1	WASH7P
NR_106918.1	MIR6859-1
NR_036051.1	MIR1302-2
NR_026818.1	FAM138A
NM_001005484.1	OR4F5
NR_039983.2	LOC729737
NR_028322.1	LOC100132287
NM_001005221.2	OR4F29
NR_125957.1	LOC101928626
NR_106781.1	MIR6723
NM_001005277.1	OR4F16
NR_028327.1	LOC100133331
NR_033908.1	LOC100288069
NR_103536.1	FAM87B
NR_024321.1	LINC00115
NR_047524.1	LINC01128
NR_047523.1	LINC01128
NR_047521.1	LINC01128
NR_047519.1	LINC01128
NR_047526.1	LINC01128
NR_047525.1	LINC01128
NR_027055.1	FAM41C
NR_026874.2	LOC100130417
NR_122045.1	LOC100130417
NM_152486.2	SAMD11
NM_015658.3	NOC2L
NM_198317.2	KLHL17
NM_032129.2	PLEKHN1
NM_001160184.1	PLEKHN1
NM_001291367.1	PERM1
NM_001291366.1	PERM1
NM_021170.3	HES4
NM_001142467.1	HES4
NM_005101.3	ISG15
NM_198576.3	AGRN
NM_001305275.1	AGRN
NM_001205252.1	RNF223
NM_001330306.1	C1orf159
NM_017891.4	C1orf159
NR_038869.1	LINC01342
NR_029639.1	MIR200B
NR_029834.1	MIR200A
NR_029957.1	MIR429
NM_001130045.1	TTLL10
NM_153254.2	TTLL10
NM_004195.2	TNFRSF18
NM_148902.1	TNFRSF18
NM_148901.1	TNFRSF18
NM_003327.3	TNFRSF4
NM_016547.2	SDF4
NM_016176.3	SDF4
NM_080605.3	B3GALT6
NM_001014980.2	FAM132A
NM_194458.1	UBE2J2
NM_194315.1	UBE2J2
NM_058167.2	UBE2J2
NM_194457.1	UBE2J2
NR_037668.2	SCNN1D
NM_001130413.3	SCNN1D
NM_030649.2	ACAP3
NR_106784.1	MIR6726
NR_144369.1	PUSL1
NM_153339.2	PUSL1
NM_001346116.1	PUSL1
NM_001256456.1	INTS11
NM_001256462.1	INTS11
NM_001256460.1	INTS11
NM_017871.5	INTS11
NM_001256463.1	INTS11
NR_106785.1	MIR6727
NM_001029885.1	CPTP
NM_152228.2	TAS1R3
NM_001330311.1	DVL1
NM_004421.2	DVL1
NR_106866.1	MIR6808
NM_001282585.1	MXRA8
NM_032348.3	MXRA8
NM_001282584.1	MXRA8
NM_001282583.1	MXRA8
NM_001282582.1	MXRA8
NM_017900.2	AURKAIP1
NM_001127229.1	AURKAIP1
NM_001127230.1	AURKAIP1
NR_135154.1	CCNL2
NM_001320153.1	CCNL2
NM_001320155.1	CCNL2
NM_030937.4	CCNL2
NM_001039577.3	CCNL2
NR_015434.1	LOC148413
NM_017971.3	MRPL20
NM_001318485.1	MRPL20
NM_001145210.2	ANKRD65
NM_001243535.1	ANKRD65
NM_001243536.1	ANKRD65
NM_001146685.1	TMEM88B
NR_125994.1	LINC01770
NR_125995.1	LINC01770
NR_125996.1	LINC01770
NM_199121.2	VWA1
NM_022834.4	VWA1
NM_001039211.2	ATAD3C
NM_031921.5	ATAD3B
NM_001317238.1	ATAD3B
NM_001170535.1	ATAD3A
NM_018188.3	ATAD3A
NM_001170536.1	ATAD3A
NM_001114748.1	TMEM240
NM_014188.2	SSU72
NM_001242659.1	FNDC10
NM_001170687.1	MIB2
NR_033183.1	MIB2
NM_001170688.1	MIB2
NM_001170686.1	MIB2
NM_080875.2	MIB2
NM_001170689.1	MIB2
NM_006983.1	MMP23B
NM_033489.2	CDK11B
NM_033490.2	CDK11B
NM_033487.2	CDK11B
NM_001787.2	CDK11B
NM_033486.2	CDK11B
NM_001291345.1	CDK11B
NM_001290264.1	SLC35E2B
NM_001110781.2	SLC35E2B
NR_002946.1	MMP23A
NR_132740.1	CDK11A
NM_024011.3	CDK11A
NR_132739.1	CDK11A
NM_001313982.1	CDK11A
NM_001313896.1	CDK11A
NM_033529.3	CDK11A
NM_001199787.1	SLC35E2
NM_182838.2	SLC35E2
NM_023018.4	NADK
NM_001198993.1	NADK
NM_001198994.1	NADK
NM_001198995.1	NADK
NM_002074.4	GNB1
NM_001282538.1	GNB1
NM_001282539.1	GNB1
NM_001330313.1	CALML6
NM_138705.3	CALML6
NM_178545.3	TMEM52
NM_001304360.1	CFAP74
NM_000815.4	GABRD
NR_135509.1	LOC105378591
NM_002744.4	PRKCZ
NM_001033581.1	PRKCZ
NM_001242874.1	PRKCZ
NM_001033582.1	PRKCZ
NM_001282671.1	FAAP20
NM_001282672.1	FAAP20
NM_001282673.1	FAAP20
NM_001256945.1	FAAP20
NM_001146310.1	FAAP20
NM_182533.2	FAAP20
NR_046427.1	FAAP20
NM_001256947.1	FAAP20
NM_001282670.1	FAAP20
NM_001256946.1	FAAP20
NM_003036.3	SKI
NM_024848.2	MORN1
NR_024489.1	LOC100129534
NM_001301060.1	MORN1
NR_125361.1	MORN1
NM_007033.4	RER1
NM_153818.1	PEX10
NM_002617.3	PEX10
NM_001303012.1	PLCH2
NM_014638.3	PLCH2
NM_001303013.1	PLCH2
NM_018216.2	PANK4
NM_001010926.3	HES5
NR_037844.2	LOC115110
NM_001297605.1	TNFRSF14
NM_003820.3	TNFRSF14
NR_121638.1	LOC100996583
NR_036638.1	FAM213B
NR_036637.1	FAM213B
NM_001195741.1	FAM213B
NM_001195740.1	FAM213B
NM_001195738.1	FAM213B
NM_152371.3	FAM213B
NM_001195737.1	FAM213B
NM_001195736.1	FAM213B
NM_033467.3	MMEL1
NM_001242672.1	TTC34
NM_080431.4	ACTRT2
NR_015440.1	LINC00982
NR_024371.1	LINC00982
NM_199454.2	PRDM16
NM_022114.3	PRDM16
NR_036215.1	MIR4251
NM_014448.3	ARHGEF16
NM_001409.3	MEGF6
NR_030277.1	MIR551A
NM_182752.3	TPRG1L
NM_017818.3	WRAP73
NM_001204186.1	TP73
NM_001204188.1	TP73
